iter	Passed	Remaining
740	1340	468
741	1341	466
742	1342	464
743	1343	462
744	1344	460
745	1345	458
746	1346	456
747	1347	454
748	1348	451
749	1350	450
750	1351	448
751	1352	446
752	1353	444
753	1355	442
754	1356	440
755	1357	438
756	1358	436
757	1359	434
758	1361	432
759	1362	430
760	1363	428
761	1364	426
762	1366	424
763	1367	422
764	1368	420
765	1369	418
766	1370	416
767	1371	414
768	1372	412
769	1373	410
770	1374	408
771	1375	406
772	1376	404
773	1377	402
774	1380	400
775	1381	398
776	1384	397
777	1385	395
778	1387	393
779	1388	391
780	1390	389
781	1391	387
782	1392	385
783	1394	384
784	1396	382
785	1397	380
786	1399	378
787	1400	376
788	1402	375
789	1403	373
790	1405	371
791	1406	369
792	1408	367
793	1411	366
794	1413	364
795	1415	362
796	1417	361
797	1419	359
798	1420	357
799	1422	355
800	1423	353
801	1425	352
802	1427	350
803	1428	348
804	1430	346
805	1431	344
806	1432	342
807	1434	340
808	1435	338
809	1436	336
810	1437	335
811	1438	333
812	1441	331
813	1442	329
814	1443	327
815	1444	325
816	1445	323
817	1447	321
818	1448	320
819	1449	318
820	1450	316
821	1451	314
822	1452	312
823	1454	310
824	1455	308
825	1457	306
826	1459	305
827	1460	303
828	1461	301
829	1462	299
830	1463	297
831	1465	295
832	1466	293
833	1467	292
834	1468	290
835	1475	289
836	1478	287
837	1484	287
838	1487	285
839	1489	283
840	1490	281
841	1492	280
842	1495	278
843	1497	276
844	1498	274
845	1502	273
846	1503	271
847	1504	269
848	1505	267
849	1506	265
850	1508	264
851	1509	262
852	1510	260
853	1511	258
854	1512	256
855	1513	254
856	1516	252
857	1517	251
858	1518	249
859	1519	247
860	1520	245
861	1522	243
862	1523	241
863	1524	239
864	1525	238
865	1526	236
866	1527	234
867	1528	232
868	1529	230
869	1531	228
870	1532	227
871	1533	225
872	1534	223
873	1535	221
874	1537	219
875	1538	217
876	1539	215
877	1540	214
878	1542	212
879	1543	210
880	1544	208
881	1546	206
882	1547	205
883	1548	203
884	1550	201
885	1551	199
886	1552	197
887	1553	195
888	1554	194
889	1555	192
890	1556	190
891	1557	188
892	1559	186
893	1561	185
894	1562	183
895	1563	181
896	1564	179
897	1565	177
898	1567	176
899	1568	174
900	1569	172
901	1570	170
902	1571	168
903	1572	166
904	1573	165
905	1574	163
906	1576	161
907	1578	159
908	1579	158
909	1581	156
910	1582	154
911	1584	152
912	1585	151
913	1587	149
914	1588	147
915	1591	145
916	1593	144
917	1595	142
918	1596	140
919	1598	138
920	1600	137
921	1601	135
922	1603	133
923	1605	132
924	1607	130
925	1609	128
926	1611	126
927	1613	125
928	1616	123
929	1617	121
930	1618	119
931	1620	118
932	1621	116
933	1623	114
934	1625	112
935	1626	111
936	1627	109
937	1628	107
938	1630	105
939	1632	104
940	1634	102
941	1636	100
942	1638	99
943	1640	97
944	1642	95
945	1644	93
946	1645	92
947	1646	90
948	1647	88
949	1649	86
950	1650	85
951	1652	83
952	1653	81
953	1654	79
954	1655	78
955	1656	76
956	1657	74
957	1658	72
958	1660	70
959	1661	69
960	1662	67
961	1663	65
962	1665	63
963	1666	62
964	1668	60
965	1669	58
966	1670	57
967	1671	55
968	1673	53
969	1675	51
970	1677	50
971	1680	48
972	1682	46
973	1686	45
974	1687	43
975	1689	41
976	1690	39
977	1691	38
978	1692	36
979	1694	34
980	1697	32
981	1698	31
982	1699	29
983	1701	27
984	1702	25
985	1703	24
986	1705	22
987	1706	20
988	1708	18
989	1709	17
990	1711	15
991	1713	13
992	1715	12
993	1717	10
994	1719	8
995	1722	6
996	1724	5
997	1729	3
998	1732	1
999	1734	0
